series_id,industry_code,measure_code,year,value
IPUBN2111__L020000000,N2111__,L02,1987,9241.837
IPUBN2111__L020000000,N2111__,L02,1988,9707.227
IPUBN2111__L020000000,N2111__,L02,1989,9903.232
IPUBN2111__L020000000,N2111__,L02,1990,10354.093
IPUBN2111__L020000000,N2111__,L02,1991,10638.455
IPUBN2111__L020000000,N2111__,L02,1992,11003.531
IPUBN2111__L020000000,N2111__,L02,1993,10875.995
IPUBN2111__L020000000,N2111__,L02,1994,10937.798
IPUBN2111__L020000000,N2111__,L02,1995,11059.985
IPUBN2111__L020000000,N2111__,L02,1996,11530.261
IPUBN2111__L020000000,N2111__,L02,1997,12664.311
IPUBN2111__L020000000,N2111__,L02,1998,12895.991
IPUBN2111__L020000000,N2111__,L02,1999,12821.783
IPUBN2111__L020000000,N2111__,L02,2000,13835.088
IPUBN2111__L020000000,N2111__,L02,2001,14471.589
IPUBN2111__L020000000,N2111__,L02,2002,14236.280
IPUBN2111__L020000000,N2111__,L02,2003,14519.774
IPUBN2111__L020000000,N2111__,L02,2004,16732.884
IPUBN2111__L020000000,N2111__,L02,2005,18969.554
IPUBN2111__L020000000,N2111__,L02,2006,22780.946
IPUBN2111__L020000000,N2111__,L02,2007,24997.435
IPUBN2111__L020000000,N2111__,L02,2008,29326.171
IPUBN2111__L020000000,N2111__,L02,2009,27742.784
IPUBN2111__L020000000,N2111__,L02,2010,29968.632
IPUBN2111__L020000000,N2111__,L02,2011,32884.806
IPUBN2111__L020000000,N2111__,L02,2012,37364.084
IPUBN2111__L020000000,N2111__,L02,2013,38598.775
IPUBN2111__L020000000,N2111__,L02,2014,40871.150
IPUBN2111__L020000000,N2111__,L02,2015,39835.611
IPUBN2111__L020000000,N2111__,L02,2016,36222.016
IPUBN2111__L020000000,N2111__,L02,2017,30705.133
IPUBN2111__L020000000,N2111__,L02,2018,31066.272
IPUBN2111__L020000000,N2111__,L02,2019,33015.266
IPUBN2111__L020000000,N2111__,L02,2020,30359.366
IPUBN2111__L020000000,N2111__,L02,2021,25991.186
IPUBN2111__L020000000,N2111__,L02,2022,29029.613
IPUBN2111__L020000000,N2111__,L02,2023,30678.756
IPUBN2111__L020000000,N2111__,L02,2024,33402.290
IPUBN2111__L020000000,N2111__,L02,2025,33669.969
IPUBN2111__L021000000,N2111__,L02,1988,5.0
IPUBN2111__L021000000,N2111__,L02,1989,2.0
IPUBN2111__L021000000,N2111__,L02,1990,4.6
IPUBN2111__L021000000,N2111__,L02,1991,2.7
IPUBN2111__L021000000,N2111__,L02,1992,3.4
IPUBN2111__L021000000,N2111__,L02,1993,-1.2
IPUBN2111__L021000000,N2111__,L02,1994,0.6
IPUBN2111__L021000000,N2111__,L02,1995,1.1
IPUBN2111__L021000000,N2111__,L02,1996,4.3
IPUBN2111__L021000000,N2111__,L02,1997,9.8
IPUBN2111__L021000000,N2111__,L02,1998,1.8
IPUBN2111__L021000000,N2111__,L02,1999,-0.6
IPUBN2111__L021000000,N2111__,L02,2000,7.9
IPUBN2111__L021000000,N2111__,L02,2001,4.6
IPUBN2111__L021000000,N2111__,L02,2002,-1.6
IPUBN2111__L021000000,N2111__,L02,2003,2.0
IPUBN2111__L021000000,N2111__,L02,2004,15.2
IPUBN2111__L021000000,N2111__,L02,2005,13.4
IPUBN2111__L021000000,N2111__,L02,2006,20.1
IPUBN2111__L021000000,N2111__,L02,2007,9.7
IPUBN2111__L021000000,N2111__,L02,2008,17.3
IPUBN2111__L021000000,N2111__,L02,2009,-5.4
IPUBN2111__L021000000,N2111__,L02,2010,8.0
IPUBN2111__L021000000,N2111__,L02,2011,9.7
IPUBN2111__L021000000,N2111__,L02,2012,13.6
IPUBN2111__L021000000,N2111__,L02,2013,3.3
IPUBN2111__L021000000,N2111__,L02,2014,5.9
IPUBN2111__L021000000,N2111__,L02,2015,-2.5
IPUBN2111__L021000000,N2111__,L02,2016,-9.1
IPUBN2111__L021000000,N2111__,L02,2017,-15.2
IPUBN2111__L021000000,N2111__,L02,2018,1.2
IPUBN2111__L021000000,N2111__,L02,2019,6.3
IPUBN2111__L021000000,N2111__,L02,2020,-8.0
IPUBN2111__L021000000,N2111__,L02,2021,-14.4
IPUBN2111__L021000000,N2111__,L02,2022,11.7
IPUBN2111__L021000000,N2111__,L02,2023,5.7
IPUBN2111__L021000000,N2111__,L02,2024,8.9
IPUBN2111__L021000000,N2111__,L02,2025,0.8
IPUBN2111__T300000000,N2111__,T30,1987,76042.566
IPUBN2111__T300000000,N2111__,T30,1988,67759.573
IPUBN2111__T300000000,N2111__,T30,1989,74652.138
IPUBN2111__T300000000,N2111__,T30,1990,85569.665
IPUBN2111__T300000000,N2111__,T30,1991,75167.625
IPUBN2111__T300000000,N2111__,T30,1992,74526.412
IPUBN2111__T300000000,N2111__,T30,1993,74334.327
IPUBN2111__T300000000,N2111__,T30,1994,68533.790
IPUBN2111__T300000000,N2111__,T30,1995,65239.233
IPUBN2111__T300000000,N2111__,T30,1996,86669.237
IPUBN2111__T300000000,N2111__,T30,1997,86663.074
IPUBN2111__T300000000,N2111__,T30,1998,63928.702
IPUBN2111__T300000000,N2111__,T30,1999,76775.767
IPUBN2111__T300000000,N2111__,T30,2000,131259.332
IPUBN2111__T300000000,N2111__,T30,2001,128527.620
IPUBN2111__T300000000,N2111__,T30,2002,105854.297
IPUBN2111__T300000000,N2111__,T30,2003,154303.459
IPUBN2111__T300000000,N2111__,T30,2004,179789.058
IPUBN2111__T300000000,N2111__,T30,2005,233870.143
IPUBN2111__T300000000,N2111__,T30,2006,234832.752
IPUBN2111__T300000000,N2111__,T30,2007,249420.473
IPUBN2111__T300000000,N2111__,T30,2008,340344.978
IPUBN2111__T300000000,N2111__,T30,2009,189623.107
IPUBN2111__T300000000,N2111__,T30,2010,249825.642
IPUBN2111__T300000000,N2111__,T30,2011,293208.557
IPUBN2111__T300000000,N2111__,T30,2012,292938.923
IPUBN2111__T300000000,N2111__,T30,2013,354838.131
IPUBN2111__T300000000,N2111__,T30,2014,396337.468
IPUBN2111__T300000000,N2111__,T30,2015,225760.219
IPUBN2111__T300000000,N2111__,T30,2016,193283.388
IPUBN2111__T300000000,N2111__,T30,2017,248740.310
IPUBN2111__T300000000,N2111__,T30,2018,346041.595
IPUBN2111__T300000000,N2111__,T30,2019,340121.178
IPUBN2111__T300000000,N2111__,T30,2020,224643.696
IPUBN2111__T300000000,N2111__,T30,2021,412319.365
IPUBN2111__T300000000,N2111__,T30,2022,657106.127
IPUBN2111__T300000000,N2111__,T30,2023,459949.439
IPUBN2111__T300000000,N2111__,T30,2024,448628.928
IPUBN2111__T300000000,N2111__,T30,2025,461624.373
IPUBN2111__T301000000,N2111__,T30,1988,-10.9
IPUBN2111__T301000000,N2111__,T30,1989,10.2
IPUBN2111__T301000000,N2111__,T30,1990,14.6
IPUBN2111__T301000000,N2111__,T30,1991,-12.2
IPUBN2111__T301000000,N2111__,T30,1992,-0.9
IPUBN2111__T301000000,N2111__,T30,1993,-0.3
IPUBN2111__T301000000,N2111__,T30,1994,-7.8
IPUBN2111__T301000000,N2111__,T30,1995,-4.8
IPUBN2111__T301000000,N2111__,T30,1996,32.8
IPUBN2111__T301000000,N2111__,T30,1997,0.0
IPUBN2111__T301000000,N2111__,T30,1998,-26.2
IPUBN2111__T301000000,N2111__,T30,1999,20.1
IPUBN2111__T301000000,N2111__,T30,2000,71.0
IPUBN2111__T301000000,N2111__,T30,2001,-2.1
IPUBN2111__T301000000,N2111__,T30,2002,-17.6
IPUBN2111__T301000000,N2111__,T30,2003,45.8
IPUBN2111__T301000000,N2111__,T30,2004,16.5
IPUBN2111__T301000000,N2111__,T30,2005,30.1
IPUBN2111__T301000000,N2111__,T30,2006,0.4
IPUBN2111__T301000000,N2111__,T30,2007,6.2
IPUBN2111__T301000000,N2111__,T30,2008,36.5
IPUBN2111__T301000000,N2111__,T30,2009,-44.3
IPUBN2111__T301000000,N2111__,T30,2010,31.7
IPUBN2111__T301000000,N2111__,T30,2011,17.4
IPUBN2111__T301000000,N2111__,T30,2012,-0.1
IPUBN2111__T301000000,N2111__,T30,2013,21.1
IPUBN2111__T301000000,N2111__,T30,2014,11.7
IPUBN2111__T301000000,N2111__,T30,2015,-43.0
IPUBN2111__T301000000,N2111__,T30,2016,-14.4
IPUBN2111__T301000000,N2111__,T30,2017,28.7
IPUBN2111__T301000000,N2111__,T30,2018,39.1
IPUBN2111__T301000000,N2111__,T30,2019,-1.7
IPUBN2111__T301000000,N2111__,T30,2020,-34.0
IPUBN2111__T301000000,N2111__,T30,2021,83.5
IPUBN2111__T301000000,N2111__,T30,2022,59.4
IPUBN2111__T301000000,N2111__,T30,2023,-30.0
IPUBN2111__T301000000,N2111__,T30,2024,-2.5
IPUBN2111__T301000000,N2111__,T30,2025,2.9
IPUBN211___L020000000,N211___,L02,1987,9241.837
IPUBN211___L020000000,N211___,L02,1988,9707.227
IPUBN211___L020000000,N211___,L02,1989,9903.232
IPUBN211___L020000000,N211___,L02,1990,10354.093
IPUBN211___L020000000,N211___,L02,1991,10638.455
IPUBN211___L020000000,N211___,L02,1992,11003.531
IPUBN211___L020000000,N211___,L02,1993,10875.995
IPUBN211___L020000000,N211___,L02,1994,10937.798
IPUBN211___L020000000,N211___,L02,1995,11059.985
IPUBN211___L020000000,N211___,L02,1996,11530.261
IPUBN211___L020000000,N211___,L02,1997,12664.311
IPUBN211___L020000000,N211___,L02,1998,12895.991
IPUBN211___L020000000,N211___,L02,1999,12821.783
IPUBN211___L020000000,N211___,L02,2000,13835.088
IPUBN211___L020000000,N211___,L02,2001,14471.589
IPUBN211___L020000000,N211___,L02,2002,14236.280
IPUBN211___L020000000,N211___,L02,2003,14519.774
IPUBN211___L020000000,N211___,L02,2004,16732.884
IPUBN211___L020000000,N211___,L02,2005,18969.554
IPUBN211___L020000000,N211___,L02,2006,22780.946
IPUBN211___L020000000,N211___,L02,2007,24997.435
IPUBN211___L020000000,N211___,L02,2008,29326.171
IPUBN211___L020000000,N211___,L02,2009,27742.784
IPUBN211___L020000000,N211___,L02,2010,29968.632
IPUBN211___L020000000,N211___,L02,2011,32884.806
IPUBN211___L020000000,N211___,L02,2012,37364.084
IPUBN211___L020000000,N211___,L02,2013,38598.775
IPUBN211___L020000000,N211___,L02,2014,40871.150
IPUBN211___L020000000,N211___,L02,2015,39835.611
IPUBN211___L020000000,N211___,L02,2016,36222.016
IPUBN211___L020000000,N211___,L02,2017,30705.133
IPUBN211___L020000000,N211___,L02,2018,31066.272
IPUBN211___L020000000,N211___,L02,2019,33015.266
IPUBN211___L020000000,N211___,L02,2020,30359.366
IPUBN211___L020000000,N211___,L02,2021,25991.186
IPUBN211___L020000000,N211___,L02,2022,29029.613
IPUBN211___L020000000,N211___,L02,2023,30678.756
IPUBN211___L020000000,N211___,L02,2024,33402.290
IPUBN211___L020000000,N211___,L02,2025,33669.969
IPUBN211___L021000000,N211___,L02,1988,5.0
IPUBN211___L021000000,N211___,L02,1989,2.0
IPUBN211___L021000000,N211___,L02,1990,4.6
IPUBN211___L021000000,N211___,L02,1991,2.7
IPUBN211___L021000000,N211___,L02,1992,3.4
IPUBN211___L021000000,N211___,L02,1993,-1.2
IPUBN211___L021000000,N211___,L02,1994,0.6
IPUBN211___L021000000,N211___,L02,1995,1.1
IPUBN211___L021000000,N211___,L02,1996,4.3
IPUBN211___L021000000,N211___,L02,1997,9.8
IPUBN211___L021000000,N211___,L02,1998,1.8
IPUBN211___L021000000,N211___,L02,1999,-0.6
IPUBN211___L021000000,N211___,L02,2000,7.9
IPUBN211___L021000000,N211___,L02,2001,4.6
IPUBN211___L021000000,N211___,L02,2002,-1.6
IPUBN211___L021000000,N211___,L02,2003,2.0
IPUBN211___L021000000,N211___,L02,2004,15.2
IPUBN211___L021000000,N211___,L02,2005,13.4
IPUBN211___L021000000,N211___,L02,2006,20.1
IPUBN211___L021000000,N211___,L02,2007,9.7
IPUBN211___L021000000,N211___,L02,2008,17.3
IPUBN211___L021000000,N211___,L02,2009,-5.4
IPUBN211___L021000000,N211___,L02,2010,8.0
IPUBN211___L021000000,N211___,L02,2011,9.7
IPUBN211___L021000000,N211___,L02,2012,13.6
IPUBN211___L021000000,N211___,L02,2013,3.3
IPUBN211___L021000000,N211___,L02,2014,5.9
IPUBN211___L021000000,N211___,L02,2015,-2.5
IPUBN211___L021000000,N211___,L02,2016,-9.1
IPUBN211___L021000000,N211___,L02,2017,-15.2
IPUBN211___L021000000,N211___,L02,2018,1.2
IPUBN211___L021000000,N211___,L02,2019,6.3
IPUBN211___L021000000,N211___,L02,2020,-8.0
IPUBN211___L021000000,N211___,L02,2021,-14.4
IPUBN211___L021000000,N211___,L02,2022,11.7
IPUBN211___L021000000,N211___,L02,2023,5.7
IPUBN211___L021000000,N211___,L02,2024,8.9
IPUBN211___L021000000,N211___,L02,2025,0.8
IPUBN211___T300000000,N211___,T30,1987,76042.566
IPUBN211___T300000000,N211___,T30,1988,67759.573
IPUBN211___T300000000,N211___,T30,1989,74652.138
IPUBN211___T300000000,N211___,T30,1990,85569.665
IPUBN211___T300000000,N211___,T30,1991,75167.625
IPUBN211___T300000000,N211___,T30,1992,74526.412
IPUBN211___T300000000,N211___,T30,1993,74334.327
IPUBN211___T300000000,N211___,T30,1994,68533.790
IPUBN211___T300000000,N211___,T30,1995,65239.233
IPUBN211___T300000000,N211___,T30,1996,86669.237
IPUBN211___T300000000,N211___,T30,1997,86663.074
IPUBN211___T300000000,N211___,T30,1998,63928.702
IPUBN211___T300000000,N211___,T30,1999,76775.767
IPUBN211___T300000000,N211___,T30,2000,131259.332
IPUBN211___T300000000,N211___,T30,2001,128527.620
IPUBN211___T300000000,N211___,T30,2002,105854.297
IPUBN211___T300000000,N211___,T30,2003,154303.459
IPUBN211___T300000000,N211___,T30,2004,179789.058
IPUBN211___T300000000,N211___,T30,2005,233870.143
IPUBN211___T300000000,N211___,T30,2006,234832.752
IPUBN211___T300000000,N211___,T30,2007,249420.473
IPUBN211___T300000000,N211___,T30,2008,340344.978
IPUBN211___T300000000,N211___,T30,2009,189623.107
IPUBN211___T300000000,N211___,T30,2010,249825.642
IPUBN211___T300000000,N211___,T30,2011,293208.557
IPUBN211___T300000000,N211___,T30,2012,292938.923
IPUBN211___T300000000,N211___,T30,2013,354838.131
IPUBN211___T300000000,N211___,T30,2014,396337.468
IPUBN211___T300000000,N211___,T30,2015,225760.219
IPUBN211___T300000000,N211___,T30,2016,193283.388
IPUBN211___T300000000,N211___,T30,2017,248740.310
IPUBN211___T300000000,N211___,T30,2018,346041.595
IPUBN211___T300000000,N211___,T30,2019,340121.178
IPUBN211___T300000000,N211___,T30,2020,224643.696
IPUBN211___T300000000,N211___,T30,2021,412319.365
IPUBN211___T300000000,N211___,T30,2022,657106.127
IPUBN211___T300000000,N211___,T30,2023,459949.439
IPUBN211___T300000000,N211___,T30,2024,448628.928
IPUBN211___T300000000,N211___,T30,2025,461624.373
IPUBN211___T301000000,N211___,T30,1988,-10.9
IPUBN211___T301000000,N211___,T30,1989,10.2
IPUBN211___T301000000,N211___,T30,1990,14.6
IPUBN211___T301000000,N211___,T30,1991,-12.2
IPUBN211___T301000000,N211___,T30,1992,-0.9
IPUBN211___T301000000,N211___,T30,1993,-0.3
IPUBN211___T301000000,N211___,T30,1994,-7.8
IPUBN211___T301000000,N211___,T30,1995,-4.8
IPUBN211___T301000000,N211___,T30,1996,32.8
IPUBN211___T301000000,N211___,T30,1997,0.0
IPUBN211___T301000000,N211___,T30,1998,-26.2
IPUBN211___T301000000,N211___,T30,1999,20.1
IPUBN211___T301000000,N211___,T30,2000,71.0
IPUBN211___T301000000,N211___,T30,2001,-2.1
IPUBN211___T301000000,N211___,T30,2002,-17.6
IPUBN211___T301000000,N211___,T30,2003,45.8
