NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,A_MEAN
113000,Forestry and Logging,3-digit,5,00-0000,All Occupations,total,43100,56000
113000,Forestry and Logging,3-digit,5,11-1021,General and Operations Managers,detailed,550,97590
113000,Forestry and Logging,3-digit,5,11-3051,Industrial Production Managers,detailed,40,104350
113000,Forestry and Logging,3-digit,5,11-9199,"Managers, All Other",detailed,230,139700
113000,Forestry and Logging,3-digit,5,13-1020,Buyers and Purchasing Agents,detailed,160,59610
113000,Forestry and Logging,3-digit,5,13-1081,Logisticians,detailed,40,80830
113000,Forestry and Logging,3-digit,5,13-2011,Accountants and Auditors,detailed,180,88970
113000,Forestry and Logging,3-digit,5,19-1032,Foresters,detailed,620,74430
113000,Forestry and Logging,3-digit,5,19-4071,Forest and Conservation Technicians,detailed,**,60960
113000,Forestry and Logging,3-digit,5,33-9032,Security Guards,detailed,**,38180
113000,Forestry and Logging,3-digit,5,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,**,34350
113000,Forestry and Logging,3-digit,5,37-3013,Tree Trimmers and Pruners,detailed,70,50860
113000,Forestry and Logging,3-digit,5,41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",detailed,50,63480
113000,Forestry and Logging,3-digit,5,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed,40,75530
113000,Forestry and Logging,3-digit,5,43-1011,First-Line Supervisors of Office and Administrative Support Workers,detailed,180,*
113000,Forestry and Logging,3-digit,5,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detailed,960,47140
113000,Forestry and Logging,3-digit,5,43-3051,Payroll and Timekeeping Clerks,detailed,**,39250
113000,Forestry and Logging,3-digit,5,43-6011,Executive Secretaries and Executive Administrative Assistants,detailed,**,76090
113000,Forestry and Logging,3-digit,5,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,750,42220
113000,Forestry and Logging,3-digit,5,43-9061,"Office Clerks, General",detailed,1710,39760
113000,Forestry and Logging,3-digit,5,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",detailed,2800,72870
113000,Forestry and Logging,3-digit,5,45-2099,"Agricultural Workers, All Other",detailed,90,56040
113000,Forestry and Logging,3-digit,5,45-4021,Fallers,detailed,2620,63460
113000,Forestry and Logging,3-digit,5,45-4022,Logging Equipment Operators,detailed,17290,53650
113000,Forestry and Logging,3-digit,5,45-4023,Log Graders and Scalers,detailed,120,56950
113000,Forestry and Logging,3-digit,5,45-4029,"Logging Workers, All Other",detailed,1780,53840
113000,Forestry and Logging,3-digit,5,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,detailed,40,78030
113000,Forestry and Logging,3-digit,5,47-2073,Operating Engineers and Other Construction Equipment Operators,detailed,530,54130
113000,Forestry and Logging,3-digit,5,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",detailed,50,68570
113000,Forestry and Logging,3-digit,5,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,detailed,200,50780
113000,Forestry and Logging,3-digit,5,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",detailed,1270,54770
113000,Forestry and Logging,3-digit,5,49-9071,"Maintenance and Repair Workers, General",detailed,90,43850
113000,Forestry and Logging,3-digit,5,49-9096,Riggers,detailed,30,60850
113000,Forestry and Logging,3-digit,5,49-9098,"Helpers--Installation, Maintenance, and Repair Workers",detailed,40,42040
113000,Forestry and Logging,3-digit,5,51-1011,First-Line Supervisors of Production and Operating Workers,detailed,50,*
113000,Forestry and Logging,3-digit,5,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",detailed,460,48430
113000,Forestry and Logging,3-digit,5,53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",detailed,110,73780
113000,Forestry and Logging,3-digit,5,53-3032,Heavy and Tractor-Trailer Truck Drivers,detailed,7620,52750
113000,Forestry and Logging,3-digit,5,53-7041,Hoist and Winch Operators,detailed,60,58170
113000,Forestry and Logging,3-digit,5,53-7051,Industrial Truck and Tractor Operators,detailed,220,50150
113000,Forestry and Logging,3-digit,5,53-7061,Cleaners of Vehicles and Equipment,detailed,50,27500
113000,Forestry and Logging,3-digit,5,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",detailed,510,39160
113000,Forestry and Logging,3-digit,5,53-7063,Machine Feeders and Offbearers,detailed,**,41030
115000,Support Activities for Agriculture and Forestry,3-digit,5,00-0000,All Occupations,total,384160,42910
115000,Support Activities for Agriculture and Forestry,3-digit,5,11-1011,Chief Executives,detailed,140,249240
115000,Support Activities for Agriculture and Forestry,3-digit,5,11-1021,General and Operations Managers,detailed,5400,101080
115000,Support Activities for Agriculture and Forestry,3-digit,5,11-2021,Marketing Managers,detailed,50,123320
115000,Support Activities for Agriculture and Forestry,3-digit,5,11-2022,Sales Managers,detailed,300,158060
115000,Support Activities for Agriculture and Forestry,3-digit,5,11-3012,Administrative Services Managers,detailed,160,128490
115000,Support Activities for Agriculture and Forestry,3-digit,5,11-3013,Facilities Managers,detailed,210,111420
115000,Support Activities for Agriculture and Forestry,3-digit,5,11-3021,Computer and Information Systems Managers,detailed,110,167390
115000,Support Activities for Agriculture and Forestry,3-digit,5,11-3031,Financial Managers,detailed,380,171650
115000,Support Activities for Agriculture and Forestry,3-digit,5,11-3051,Industrial Production Managers,detailed,530,104370
115000,Support Activities for Agriculture and Forestry,3-digit,5,11-3061,Purchasing Managers,detailed,60,140680
115000,Support Activities for Agriculture and Forestry,3-digit,5,11-3071,"Transportation, Storage, and Distribution Managers",detailed,250,108110
115000,Support Activities for Agriculture and Forestry,3-digit,5,11-3121,Human Resources Managers,detailed,120,122500
115000,Support Activities for Agriculture and Forestry,3-digit,5,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,2530,99940
115000,Support Activities for Agriculture and Forestry,3-digit,5,11-9121,Natural Sciences Managers,detailed,50,124610
115000,Support Activities for Agriculture and Forestry,3-digit,5,11-9199,"Managers, All Other",detailed,330,*
115000,Support Activities for Agriculture and Forestry,3-digit,5,13-1020,Buyers and Purchasing Agents,detailed,410,77550
115000,Support Activities for Agriculture and Forestry,3-digit,5,13-1041,Compliance Officers,detailed,90,60700
115000,Support Activities for Agriculture and Forestry,3-digit,5,13-1071,Human Resources Specialists,detailed,500,72800
115000,Support Activities for Agriculture and Forestry,3-digit,5,13-1074,Farm Labor Contractors,detailed,360,54660
115000,Support Activities for Agriculture and Forestry,3-digit,5,13-1081,Logisticians,detailed,190,76930
115000,Support Activities for Agriculture and Forestry,3-digit,5,13-1082,Project Management Specialists,detailed,70,85900
115000,Support Activities for Agriculture and Forestry,3-digit,5,13-1111,Management Analysts,detailed,70,82510
115000,Support Activities for Agriculture and Forestry,3-digit,5,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,40,67700
115000,Support Activities for Agriculture and Forestry,3-digit,5,13-1151,Training and Development Specialists,detailed,180,*
115000,Support Activities for Agriculture and Forestry,3-digit,5,13-1161,Market Research Analysts and Marketing Specialists,detailed,170,78280
