NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,A_MEAN
221111,Hydroelectric Power Generation,6-digit,5,00-0000,All Occupations,total,8060,110490
221111,Hydroelectric Power Generation,6-digit,5,11-1021,General and Operations Managers,detailed,210,153400
221111,Hydroelectric Power Generation,6-digit,5,11-3021,Computer and Information Systems Managers,detailed,50,207530
221111,Hydroelectric Power Generation,6-digit,5,11-3031,Financial Managers,detailed,40,182370
221111,Hydroelectric Power Generation,6-digit,5,11-3051,Industrial Production Managers,detailed,70,158650
221111,Hydroelectric Power Generation,6-digit,5,11-9041,Architectural and Engineering Managers,detailed,30,205830
221111,Hydroelectric Power Generation,6-digit,5,11-9199,"Managers, All Other",detailed,70,169910
221111,Hydroelectric Power Generation,6-digit,5,13-1020,Buyers and Purchasing Agents,detailed,70,84940
221111,Hydroelectric Power Generation,6-digit,5,13-1041,Compliance Officers,detailed,130,125060
221111,Hydroelectric Power Generation,6-digit,5,13-1071,Human Resources Specialists,detailed,50,99620
221111,Hydroelectric Power Generation,6-digit,5,13-1081,Logisticians,detailed,50,112780
221111,Hydroelectric Power Generation,6-digit,5,13-1082,Project Management Specialists,detailed,190,125920
221111,Hydroelectric Power Generation,6-digit,5,13-1111,Management Analysts,detailed,60,113780
221111,Hydroelectric Power Generation,6-digit,5,13-1199,"Business Operations Specialists, All Other",detailed,90,105470
221111,Hydroelectric Power Generation,6-digit,5,13-2011,Accountants and Auditors,detailed,80,119120
221111,Hydroelectric Power Generation,6-digit,5,15-1211,Computer Systems Analysts,detailed,30,123200
221111,Hydroelectric Power Generation,6-digit,5,15-1252,Software Developers,detailed,90,150970
221111,Hydroelectric Power Generation,6-digit,5,17-2071,Electrical Engineers,detailed,440,124870
221111,Hydroelectric Power Generation,6-digit,5,17-2141,Mechanical Engineers,detailed,50,101170
221111,Hydroelectric Power Generation,6-digit,5,17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,80,95700
221111,Hydroelectric Power Generation,6-digit,5,19-1032,Foresters,detailed,40,108540
221111,Hydroelectric Power Generation,6-digit,5,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,90,107310
221111,Hydroelectric Power Generation,6-digit,5,19-4042,"Environmental Science and Protection Technicians, Including Health",detailed,30,61880
221111,Hydroelectric Power Generation,6-digit,5,19-4044,Hydrologic Technicians,detailed,130,84190
221111,Hydroelectric Power Generation,6-digit,5,19-4071,Forest and Conservation Technicians,detailed,50,91300
221111,Hydroelectric Power Generation,6-digit,5,19-5011,Occupational Health and Safety Specialists,detailed,80,117970
221111,Hydroelectric Power Generation,6-digit,5,37-3011,Landscaping and Groundskeeping Workers,detailed,**,43480
221111,Hydroelectric Power Generation,6-digit,5,43-1011,First-Line Supervisors of Office and Administrative Support Workers,detailed,40,108070
221111,Hydroelectric Power Generation,6-digit,5,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detailed,50,62140
221111,Hydroelectric Power Generation,6-digit,5,43-4051,Customer Service Representatives,detailed,30,73160
221111,Hydroelectric Power Generation,6-digit,5,43-5061,"Production, Planning, and Expediting Clerks",detailed,50,98220
221111,Hydroelectric Power Generation,6-digit,5,43-6011,Executive Secretaries and Executive Administrative Assistants,detailed,30,75570
221111,Hydroelectric Power Generation,6-digit,5,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,80,58380
221111,Hydroelectric Power Generation,6-digit,5,43-9061,"Office Clerks, General",detailed,100,86110
221111,Hydroelectric Power Generation,6-digit,5,47-2073,Operating Engineers and Other Construction Equipment Operators,detailed,60,118860
221111,Hydroelectric Power Generation,6-digit,5,47-2111,Electricians,detailed,110,121140
221111,Hydroelectric Power Generation,6-digit,5,47-2152,"Plumbers, Pipefitters, and Steamfitters",detailed,40,113460
221111,Hydroelectric Power Generation,6-digit,5,47-4011,Construction and Building Inspectors,detailed,40,132250
221111,Hydroelectric Power Generation,6-digit,5,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",detailed,270,141910
221111,Hydroelectric Power Generation,6-digit,5,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",detailed,70,124120
221111,Hydroelectric Power Generation,6-digit,5,49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",detailed,180,95120
221111,Hydroelectric Power Generation,6-digit,5,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,detailed,**,94830
221111,Hydroelectric Power Generation,6-digit,5,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",detailed,80,101710
221111,Hydroelectric Power Generation,6-digit,5,49-9041,Industrial Machinery Mechanics,detailed,370,104200
221111,Hydroelectric Power Generation,6-digit,5,49-9051,Electrical Power-Line Installers and Repairers,detailed,640,118450
221111,Hydroelectric Power Generation,6-digit,5,49-9071,"Maintenance and Repair Workers, General",detailed,220,83300
221111,Hydroelectric Power Generation,6-digit,5,51-1011,First-Line Supervisors of Production and Operating Workers,detailed,260,124550
221111,Hydroelectric Power Generation,6-digit,5,51-4041,Machinists,detailed,30,127050
221111,Hydroelectric Power Generation,6-digit,5,51-4121,"Welders, Cutters, Solderers, and Brazers",detailed,40,87040
221111,Hydroelectric Power Generation,6-digit,5,51-8012,Power Distributors and Dispatchers,detailed,40,113260
221111,Hydroelectric Power Generation,6-digit,5,51-8013,Power Plant Operators,detailed,1620,92970
221111,Hydroelectric Power Generation,6-digit,5,51-8031,Water and Wastewater Treatment Plant and System Operators,detailed,90,103570
221112,Fossil Fuel Electric Power Generation,6-digit,5,00-0000,All Occupations,total,73170,110110
221112,Fossil Fuel Electric Power Generation,6-digit,5,11-1011,Chief Executives,detailed,40,276790
221112,Fossil Fuel Electric Power Generation,6-digit,5,11-1021,General and Operations Managers,detailed,1680,170180
221112,Fossil Fuel Electric Power Generation,6-digit,5,11-2021,Marketing Managers,detailed,90,181620
221112,Fossil Fuel Electric Power Generation,6-digit,5,11-2032,Public Relations Managers,detailed,40,195280
221112,Fossil Fuel Electric Power Generation,6-digit,5,11-3012,Administrative Services Managers,detailed,210,141760
